	Idx	version	model	desc	fcst_lead	fcst_valid_beg	fcst_valid_end	fcst_init_beg	obs_lead	obs_valid_beg	obs_valid_end	fcst_var	fcst_units	fcst_lev	obs_var	obs_units	obs_lev	obtype	vx_mask	interp_mthd	interp_pnts	fcst_thresh	obs_thresh	cov_thresh	alpha	line_type	total	fy	oy	fbias	baddeley	hausdorff	med_fo	med_of	med_min	med_max	med_mean	fom_fo	fom_of	fom_min	fom_max	fom_mean	zhu_fo	zhu_of	zhu_min	zhu_max	zhu_mean	g	gbeta	beta_value
234	234	V11.1.0	FV3_core	NA	10000	2019-05-21 01:00:00	2019-05-21 01:00:00	2019-05-21	0	2019-05-21 01:00:00	2019-05-21 01:00:00	fcst_obj_raw	NA	*,*	obs_obj_raw	NA	*,*	GOES	FULL	NEAREST	1	<999	<999	-9999	-9999	DMAP	1814400	64663.0	123297	0.52445	59.29468	181.17671	10.80896	0.83382	0.83382	10.80896	5.82139	0.56002	0.49584	0.49584	0.56002	0.52793	5.5015	0.51393	0.51393	5.5015	3.00771	4558.55938	0.94245	1646023680000
236	236	V11.1.0	FV3_core	NA	20000	2019-05-21 02:00:00	2019-05-21 02:00:00	2019-05-21	0	2019-05-21 02:00:00	2019-05-21 02:00:00	fcst_obj_raw	NA	*,*	obs_obj_raw	NA	*,*	GOES	FULL	NEAREST	1	<999	<999	-9999	-9999	DMAP	1814400	122478.0	124217	0.986	37.25676	95.90099	4.91174	4.83528	4.83528	4.91174	4.87351	0.75398	0.75347	0.75347	0.75398	0.75372	2.55647	2.51824	2.51824	2.55647	2.53735	4453.14484	0.94635	1646023680000
308	308	V12.0.0	FCST	NA	120000	2005-08-07 12:00:00	2005-08-07 12:00:00	2005-08-07	0	2005-08-07 12:00:00	2005-08-07 12:00:00	TMP	K	Z2	TMP	K	Z2	ANALYS	FULL	NEAREST	1	<300	<300	-9999	-9999	DMAP	14162	12027.0	12502	0.96201	1.45103	17.02939	0.1314	0.0072563	0.0072563	0.1314	0.06933	0.98559	0.96126	0.96126	0.98559	0.97343	0.1704	0.10833	0.10833	0.1704	0.13937	102.42043	0.98929	100281122
309	309	V12.0.0	FCST	NA	120000	2005-08-07 12:00:00	2005-08-07 12:00:00	2005-08-07	0	2005-08-07 12:00:00	2005-08-07 12:00:00	TMP	K	Z2	TMP	K	Z2	ANALYS	DTC165	NEAREST	1	<300	<300	-9999	-9999	DMAP	5558	5286.0	5335	0.99082	0.29722	4.12311	0.02866	0.012948	0.012948	0.02866	0.020804	0.99649	0.9894	0.9894	0.99649	0.99294	0.098899	0.091043	0.091043	0.098899	0.094971	32.77096	NA	NA
310	310	V12.0.0	FCST	NA	120000	2005-08-07 12:00:00	2005-08-07 12:00:00	2005-08-07	0	2005-08-07 12:00:00	2005-08-07 12:00:00	TMP	K	Z2	TMP	K	Z2	ANALYS	DTC166	NEAREST	1	<300	<300	-9999	-9999	DMAP	6862	5332.0	5630	0.94707	1.71948	15.61517	0.14487	0.0031561	0.0031561	0.14487	0.074012	0.98308	0.94678	0.94678	0.98308	0.96493	0.18208	0.11123	0.11123	0.18208	0.14665	65.00612	NA	NA
311	311	V12.0.0	FCST	NA	120000	2005-08-07 12:00:00	2005-08-07 12:00:00	2005-08-07	0	2005-08-07 12:00:00	2005-08-07 12:00:00	TMP	K	Z2	TMP	K	Z2	ANALYS	CONUS	NEAREST	1	<300	<300	-9999	-9999	DMAP	5479	5219.0	5327	0.97973	0.20714	2.23607	0.02619	0.0034161	0.0034161	0.02619	0.014803	0.99735	0.97941	0.97941	0.99735	0.98838	0.093589	0.082202	0.082202	0.093589	0.087896	28.16509	NA	NA
312	312	V12.0.0	FCST	NA	120000	2005-08-07 12:00:00	2005-08-07 12:00:00	2005-08-07	0	2005-08-07 12:00:00	2005-08-07 12:00:00	TMP	K	Z2	TMP	K	Z2	ANALYS	LMV	NEAREST	1	<300	<300	-9999	-9999	DMAP	524	524.0	524	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	NA	NA
313	313	V12.0.0	FCST	NA	120000	2005-08-07 12:00:00	2005-08-07 12:00:00	2005-08-07	0	2005-08-07 12:00:00	2005-08-07 12:00:00	TMP	K	Z2	TMP	K	Z2	ANALYS	FULL	NEAREST	1	>=300	>=300	-9999	-9999	DMAP	14162	2135.0	1660	1.28614	7.16287	20.88061	0.068024	0.74846	0.068024	0.74846	0.40824	0.77174	0.91227	0.77174	0.91227	0.842	0.13871	0.47893	0.13871	0.47893	0.30882	102.04006	0.98941	100281122
314	314	V12.0.0	FCST	NA	120000	2005-08-07 12:00:00	2005-08-07 12:00:00	2005-08-07	0	2005-08-07 12:00:00	2005-08-07 12:00:00	TMP	K	Z2	TMP	K	Z2	ANALYS	DTC165	NEAREST	1	>=300	>=300	-9999	-9999	DMAP	5558	272.0	223	1.21973	6.81191	20.88061	0.39816	1.56109	0.39816	1.56109	0.97963	0.78485	0.83366	0.78485	0.83366	0.80925	0.28365	0.86511	0.28365	0.86511	0.57438	43.37968	NA	NA
315	315	V12.0.0	FCST	NA	120000	2005-08-07 12:00:00	2005-08-07 12:00:00	2005-08-07	0	2005-08-07 12:00:00	2005-08-07 12:00:00	TMP	K	Z2	TMP	K	Z2	ANALYS	DTC166	NEAREST	1	>=300	>=300	-9999	-9999	DMAP	6862	1530.0	1232	1.24188	7.6275	20.88061	0.01715	0.35242	0.01715	0.35242	0.18478	0.80363	0.95404	0.80363	0.95404	0.87883	0.11822	0.28586	0.11822	0.28586	0.20204	56.97075	NA	NA
