version	model	desc	fcst_lead	fcst_valid_beg	fcst_valid_end	fcst_init_beg	obs_lead	obs_valid_beg	obs_valid_end	fcst_var	fcst_units	fcst_lev	obs_var	obs_units	obs_lev	obtype	vx_mask	interp_mthd	interp_pnts	fcst_thresh	obs_thresh	cov_thresh	alpha	line_type	total	stat_name	stat_value	stat_ncl	stat_ncu	stat_bcl	stat_bcu
V11.1.0	FV3_core	NA	10000	2019-05-21 01:00:00	2019-05-21 01:00:00	2019-05-21	0	2019-05-21 01:00:00	2019-05-21 01:00:00	fcst_obj_raw	NA	*,*	obs_obj_raw	NA	*,*	GOES	FULL	NEAREST	1	<999	<999	-9999	-9999	DMAP	1814400	fy	64663.0	NA	NA	NA	NA
V11.1.0	FV3_core	NA	20000	2019-05-21 02:00:00	2019-05-21 02:00:00	2019-05-21	0	2019-05-21 02:00:00	2019-05-21 02:00:00	fcst_obj_raw	NA	*,*	obs_obj_raw	NA	*,*	GOES	FULL	NEAREST	1	<999	<999	-9999	-9999	DMAP	1814400	fy	122478.0	NA	NA	NA	NA
V11.1.0	FV3_core	NA	10000	2019-05-21 01:00:00	2019-05-21 01:00:00	2019-05-21	0	2019-05-21 01:00:00	2019-05-21 01:00:00	fcst_obj_raw	NA	*,*	obs_obj_raw	NA	*,*	GOES	FULL	NEAREST	1	<999	<999	-9999	-9999	DMAP	1814400	fy	42968.0	NA	NA	NA	NA
V11.1.0	FV3_core	NA	20000	2019-05-21 02:00:00	2019-05-21 02:00:00	2019-05-21	0	2019-05-21 02:00:00	2019-05-21 02:00:00	fcst_obj_raw	NA	*,*	obs_obj_raw	NA	*,*	GOES	FULL	NEAREST	1	<999	<999	-9999	-9999	DMAP	1814400	fy	99988.0	NA	NA	NA	NA
V11.1.0	FV3_core	NA	10000	2019-05-21 01:00:00	2019-05-21 01:00:00	2019-05-21	0	2019-05-21 01:00:00	2019-05-21 01:00:00	fcst_obj_raw	NA	*,*	obs_obj_raw	NA	*,*	GOES	FULL	NEAREST	1	<999	<999	-9999	-9999	DMAP	1814400	oy	123297	NA	NA	NA	NA
V11.1.0	FV3_core	NA	20000	2019-05-21 02:00:00	2019-05-21 02:00:00	2019-05-21	0	2019-05-21 02:00:00	2019-05-21 02:00:00	fcst_obj_raw	NA	*,*	obs_obj_raw	NA	*,*	GOES	FULL	NEAREST	1	<999	<999	-9999	-9999	DMAP	1814400	oy	124217	NA	NA	NA	NA
V11.1.0	FV3_core	NA	10000	2019-05-21 01:00:00	2019-05-21 01:00:00	2019-05-21	0	2019-05-21 01:00:00	2019-05-21 01:00:00	fcst_obj_raw	NA	*,*	obs_obj_raw	NA	*,*	GOES	FULL	NEAREST	1	<999	<999	-9999	-9999	DMAP	1814400	oy	123297	NA	NA	NA	NA
V11.1.0	FV3_core	NA	20000	2019-05-21 02:00:00	2019-05-21 02:00:00	2019-05-21	0	2019-05-21 02:00:00	2019-05-21 02:00:00	fcst_obj_raw	NA	*,*	obs_obj_raw	NA	*,*	GOES	FULL	NEAREST	1	<999	<999	-9999	-9999	DMAP	1814400	oy	124217	NA	NA	NA	NA
V11.1.0	FV3_core	NA	10000	2019-05-21 01:00:00	2019-05-21 01:00:00	2019-05-21	0	2019-05-21 01:00:00	2019-05-21 01:00:00	fcst_obj_raw	NA	*,*	obs_obj_raw	NA	*,*	GOES	FULL	NEAREST	1	<999	<999	-9999	-9999	DMAP	1814400	fbias	0.52445	NA	NA	NA	NA
V11.1.0	FV3_core	NA	20000	2019-05-21 02:00:00	2019-05-21 02:00:00	2019-05-21	0	2019-05-21 02:00:00	2019-05-21 02:00:00	fcst_obj_raw	NA	*,*	obs_obj_raw	NA	*,*	GOES	FULL	NEAREST	1	<999	<999	-9999	-9999	DMAP	1814400	fbias	0.986	NA	NA	NA	NA
V11.1.0	FV3_core	NA	10000	2019-05-21 01:00:00	2019-05-21 01:00:00	2019-05-21	0	2019-05-21 01:00:00	2019-05-21 01:00:00	fcst_obj_raw	NA	*,*	obs_obj_raw	NA	*,*	GOES	FULL	NEAREST	1	<999	<999	-9999	-9999	DMAP	1814400	fbias	0.34849	NA	NA	NA	NA
V11.1.0	FV3_core	NA	20000	2019-05-21 02:00:00	2019-05-21 02:00:00	2019-05-21	0	2019-05-21 02:00:00	2019-05-21 02:00:00	fcst_obj_raw	NA	*,*	obs_obj_raw	NA	*,*	GOES	FULL	NEAREST	1	<999	<999	-9999	-9999	DMAP	1814400	fbias	0.80495	NA	NA	NA	NA
