	version	model	descr	fcst_lead	fcst_valid_beg	fcst_valid_end	fcst_init_beg	obs_lead	obs_valid_beg	obs_valid_end	fcst_var	fcst_units	fcst_lev	obs_var	obs_units	obs_lev	obtype	vx_mask	interp_mthd	interp_pnts	fcst_thresh	obs_thresh	cov_thresh	alpha	line_type	total	n_thresh	thresh_i	oy_i	on_i	i_value
25	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	110000	2022-05-06 11:00:00	2022-05-06 11:00:00	2022-05-06	0	2022-05-06 10:30:01	2022-05-06 11:30:00	TMP_ENS_FREQ_ge268	K	Z2	TMP	NA	Z2	ADPSFC	CONUS	BILIN	4	==0.10000	>=268	-9999	-9999	PCT	4390	10	0	0	0	1
32	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	110000	2022-05-06 11:00:00	2022-05-06 11:00:00	2022-05-06	0	2022-05-06 10:30:01	2022-05-06 11:30:00	TMP_ENS_FREQ_ge273	K	Z2	TMP	NA	Z2	ADPSFC	CONUS	BILIN	4	==0.10000	>=273	-9999	-9999	PCT	4390	10	0	6	0	1
33	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	110000	2022-05-06 11:00:00	2022-05-06 11:00:00	2022-05-06	0	2022-05-06 10:30:01	2022-05-06 11:30:00	TMP_ENS_FREQ_ge278	K	Z2	TMP	NA	Z2	ADPSFC	CONUS	BILIN	4	==0.10000	>=278	-9999	-9999	PCT	4390	10	0	19	120	1
34	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	110000	2022-05-06 11:00:00	2022-05-06 11:00:00	2022-05-06	0	2022-05-06 10:30:01	2022-05-06 11:30:00	TMP_ENS_FREQ_ge293	K	Z2	TMP	NA	Z2	ADPSFC	CONUS	BILIN	4	==0.10000	>=293	-9999	-9999	PCT	4390	10	0	18	3567	1
35	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	110000	2022-05-06 11:00:00	2022-05-06 11:00:00	2022-05-06	0	2022-05-06 10:30:01	2022-05-06 11:30:00	TMP_ENS_FREQ_ge298	K	Z2	TMP	NA	Z2	ADPSFC	CONUS	BILIN	4	==0.10000	>=298	-9999	-9999	PCT	4390	10	0	19	4327	1
36	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	110000	2022-05-06 11:00:00	2022-05-06 11:00:00	2022-05-06	0	2022-05-06 10:30:01	2022-05-06 11:30:00	TMP_ENS_FREQ_ge303	K	Z2	TMP	NA	Z2	ADPSFC	CONUS	BILIN	4	==0.10000	>=303	-9999	-9999	PCT	4390	10	0	0	4390	1
	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	310000	2022-05-07 07:00:00	2022-05-07 07:00:00	2022-05-06	0	2022-05-07 06:30:01	2022-05-07 07:30:00	TMP_ENS_FREQ_ge268	K	Z2	TMP	NA	Z2	ADPSFC	CONUS	BILIN	4	==0.10000	>=268	-9999	-9999	PCT	4194	10	0	0	0	1
	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	310000	2022-05-07 07:00:00	2022-05-07 07:00:00	2022-05-06	0	2022-05-07 06:30:01	2022-05-07 07:30:00	TMP_ENS_FREQ_ge273	K	Z2	TMP	NA	Z2	ADPSFC	CONUS	BILIN	4	==0.10000	>=273	-9999	-9999	PCT	4194	10	0	0	1	1
48	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	310000	2022-05-07 07:00:00	2022-05-07 07:00:00	2022-05-06	0	2022-05-07 06:30:01	2022-05-07 07:30:00	TMP_ENS_FREQ_ge278	K	Z2	TMP	NA	Z2	ADPSFC	CONUS	BILIN	4	==0.10000	>=278	-9999	-9999	PCT	4194	10	0	9	60	1
49	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	310000	2022-05-07 07:00:00	2022-05-07 07:00:00	2022-05-06	0	2022-05-07 06:30:01	2022-05-07 07:30:00	TMP_ENS_FREQ_ge293	K	Z2	TMP	NA	Z2	ADPSFC	CONUS	BILIN	4	==0.10000	>=293	-9999	-9999	PCT	4194	10	0	59	3405	1
50	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	310000	2022-05-07 07:00:00	2022-05-07 07:00:00	2022-05-06	0	2022-05-07 06:30:01	2022-05-07 07:30:00	TMP_ENS_FREQ_ge298	K	Z2	TMP	NA	Z2	ADPSFC	CONUS	BILIN	4	==0.10000	>=298	-9999	-9999	PCT	4194	10	0	108	3988	1
51	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	310000	2022-05-07 07:00:00	2022-05-07 07:00:00	2022-05-06	0	2022-05-07 06:30:01	2022-05-07 07:30:00	TMP_ENS_FREQ_ge303	K	Z2	TMP	NA	Z2	ADPSFC	CONUS	BILIN	4	==0.10000	>=303	-9999	-9999	PCT	4194	10	0	5	4189	1
	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	350000	2022-05-07 11:00:00	2022-05-07 11:00:00	2022-05-06	0	2022-05-07 10:30:01	2022-05-07 11:30:00	TMP_ENS_FREQ_ge268	K	Z2	TMP	NA	Z2	ADPSFC	CONUS	BILIN	4	==0.10000	>=268	-9999	-9999	PCT	4279	10	0	0	0	1
V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	350000	2022-05-07 11:00:00	2022-05-07 11:00:00	2022-05-06	0	2022-05-07 10:30:01	2022-05-07 11:30:00	TMP_ENS_FREQ_ge273	K	Z2	TMP	NA	Z2	ADPSFC	CONUS	BILIN	4	==0.10000	>=273	-9999	-9999	PCT	4279	10	0	0	0	1
63	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	350000	2022-05-07 11:00:00	2022-05-07 11:00:00	2022-05-06	0	2022-05-07 10:30:01	2022-05-07 11:30:00	TMP_ENS_FREQ_ge278	K	Z2	TMP	NA	Z2	ADPSFC	CONUS	BILIN	4	==0.10000	>=278	-9999	-9999	PCT	4279	10	0	20	102	1
64	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	350000	2022-05-07 11:00:00	2022-05-07 11:00:00	2022-05-06	0	2022-05-07 10:30:01	2022-05-07 11:30:00	TMP_ENS_FREQ_ge293	K	Z2	TMP	NA	Z2	ADPSFC	CONUS	BILIN	4	==0.10000	>=293	-9999	-9999	PCT	4279	10	0	46	3635	1
65	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	350000	2022-05-07 11:00:00	2022-05-07 11:00:00	2022-05-06	0	2022-05-07 10:30:01	2022-05-07 11:30:00	TMP_ENS_FREQ_ge298	K	Z2	TMP	NA	Z2	ADPSFC	CONUS	BILIN	4	==0.10000	>=298	-9999	-9999	PCT	4279	10	0	66	4182	1
66	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	350000	2022-05-07 11:00:00	2022-05-07 11:00:00	2022-05-06	0	2022-05-07 10:30:01	2022-05-07 11:30:00	TMP_ENS_FREQ_ge303	K	Z2	TMP	NA	Z2	ADPSFC	CONUS	BILIN	4	==0.10000	>=303	-9999	-9999	PCT	4279	10	0	0	4279	1
0	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	210000	2022-05-06 21:00:00	2022-05-06 21:00:00	2022-05-06	0	2022-05-06 20:30:01	2022-05-06 21:30:00	TMP_ENS_FREQ_ge268	K	Z2	TMP	NA	Z2	ADPSFC	CONUS	BILIN	4	==0.10000	>=268	-9999	-9999	PCT	4306	10	0	0	0	1
7	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	210000	2022-05-06 21:00:00	2022-05-06 21:00:00	2022-05-06	0	2022-05-06 20:30:01	2022-05-06 21:30:00	TMP_ENS_FREQ_ge273	K	Z2	TMP	NA	Z2	ADPSFC	CONUS	BILIN	4	==0.10000	>=273	-9999	-9999	PCT	4306	10	0	0	0	1
78	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	210000	2022-05-06 21:00:00	2022-05-06 21:00:00	2022-05-06	0	2022-05-06 20:30:01	2022-05-06 21:30:00	TMP_ENS_FREQ_ge278	K	Z2	TMP	NA	Z2	ADPSFC	CONUS	BILIN	4	==0.10000	>=278	-9999	-9999	PCT	4306	10	0	0	0	1
79	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	210000	2022-05-06 21:00:00	2022-05-06 21:00:00	2022-05-06	0	2022-05-06 20:30:01	2022-05-06 21:30:00	TMP_ENS_FREQ_ge293	K	Z2	TMP	NA	Z2	ADPSFC	CONUS	BILIN	4	==0.10000	>=293	-9999	-9999	PCT	4306	10	0	84	1727	1
80	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	210000	2022-05-06 21:00:00	2022-05-06 21:00:00	2022-05-06	0	2022-05-06 20:30:01	2022-05-06 21:30:00	TMP_ENS_FREQ_ge298	K	Z2	TMP	NA	Z2	ADPSFC	CONUS	BILIN	4	==0.10000	>=298	-9999	-9999	PCT	4306	10	0	45	2828	1
81	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	210000	2022-05-06 21:00:00	2022-05-06 21:00:00	2022-05-06	0	2022-05-06 20:30:01	2022-05-06 21:30:00	TMP_ENS_FREQ_ge303	K	Z2	TMP	NA	Z2	ADPSFC	CONUS	BILIN	4	==0.10000	>=303	-9999	-9999	PCT	4306	10	0	45	3579	1
V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	330000	2022-05-07 09:00:00	2022-05-07 09:00:00	2022-05-06	0	2022-05-07 08:30:01	2022-05-07 09:30:00	TMP_ENS_FREQ_ge268	K	Z2	TMP	NA	Z2	ADPSFC	CONUS	BILIN	4	==0.10000	>=268	-9999	-9999	PCT	4309	10	0	0	0	1
86	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	330000	2022-05-07 09:00:00	2022-05-07 09:00:00	2022-05-06	0	2022-05-07 08:30:01	2022-05-07 09:30:00	DPT_ENS_FREQ_ge288	K	Z2	DPT	NA	Z2	ADPSFC	CONUS	BILIN	4	==0.10000	>=288	-9999	-9999	PCT	4230	10	0	4	3187	1
87	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	330000	2022-05-07 09:00:00	2022-05-07 09:00:00	2022-05-06	0	2022-05-07 08:30:01	2022-05-07 09:30:00	DPT_ENS_FREQ_ge293	K	Z2	DPT	NA	Z2	ADPSFC	CONUS	BILIN	4	==0.10000	>=293	-9999	-9999	PCT	4230	10	0	1	3748	1
88	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	330000	2022-05-07 09:00:00	2022-05-07 09:00:00	2022-05-06	0	2022-05-07 08:30:01	2022-05-07 09:30:00	DPT_ENS_FREQ_ge298	K	Z2	DPT	NA	Z2	ADPSFC	CONUS	BILIN	4	==0.10000	>=298	-9999	-9999	PCT	4230	10	0	0	4230	1
